iter	RMSE
207	1.878960607
208	1.87800037
209	1.877079769
210	1.876128948
211	1.875316247
212	1.87447403
213	1.873471993
214	1.87254334
215	1.871613045
216	1.870794193
217	1.869927771
218	1.869018401
219	1.868229084
220	1.867412549
221	1.866676898
222	1.865948348
223	1.865140204
224	1.864250813
225	1.863625392
226	1.862979397
227	1.862311069
228	1.86164466
229	1.860977672
230	1.86034598
231	1.859680035
232	1.859040632
233	1.858531019
234	1.85796381
235	1.857330248
236	1.856511833
237	1.855747351
238	1.855205639
239	1.854615987
240	1.854044716
241	1.853565365
242	1.853027279
243	1.852394477
244	1.851867146
245	1.851325927
246	1.850646302
247	1.850061812
248	1.849488403
249	1.848962571
250	1.848466014
251	1.847998865
252	1.847438091
253	1.847003529
254	1.846639836
255	1.84620472
256	1.845680958
257	1.845198437
258	1.844745087
259	1.844348852
260	1.844043316
261	1.843557723
262	1.843115149
263	1.84263172
264	1.842238581
265	1.841764084
266	1.841251806
267	1.840811354
268	1.840416148
269	1.840063729
270	1.839707968
271	1.839398121
272	1.839047339
273	1.83866628
274	1.838362876
275	1.83787909
276	1.837415654
277	1.837069186
278	1.836657777
279	1.836234416
280	1.835750882
281	1.835423157
282	1.835084578
283	1.834653559
284	1.834400642
285	1.834116858
286	1.833874175
287	1.83353317
288	1.833206048
289	1.832886961
290	1.832511848
291	1.832284989
292	1.832033504
293	1.831641838
294	1.83129207
295	1.830972072
296	1.83057811
297	1.830279823
298	1.829942807
299	1.829734115
300	1.829514263
301	1.829086972
302	1.828757151
303	1.828460767
304	1.828270444
305	1.828018889
306	1.82771971
307	1.82746646
308	1.827044362
309	1.826805401
310	1.826575032
311	1.826331146
312	1.82605466
313	1.825754407
314	1.825532015
315	1.82534712
316	1.825127908
317	1.824819153
318	1.824670181
319	1.824456528
320	1.824263735
321	1.824077513
322	1.82385771
323	1.82364354
324	1.823409718
325	1.823185711
326	1.82303832
327	1.822803498
328	1.822599277
329	1.822416087
330	1.822165195
331	1.822064248
332	1.821836443
333	1.82166618
334	1.821268185
335	1.820971791
336	1.820758353
337	1.820636524
338	1.820438325
339	1.820192446
340	1.82000566
341	1.819806143
342	1.81965762
343	1.819465446
344	1.819172534
345	1.818923682
346	1.818811317
347	1.818632132
348	1.818431129
349	1.818304053
350	1.818147787
351	1.817935531
352	1.817809961
353	1.817566261
354	1.817443075
355	1.817351485
356	1.817183596
357	1.81705275
358	1.816854069
359	1.816719256
360	1.816503518
361	1.816314093
362	1.816061536
363	1.815781587
364	1.815494532
365	1.815320127
366	1.814997062
367	1.81486004
368	1.814752046
369	1.814603387
370	1.814499507
371	1.814393687
372	1.814265975
373	1.814191405
374	1.813938758
375	1.813823736
376	1.813687799
377	1.813611883
378	1.813351756
379	1.813193384
380	1.81299415
381	1.81287104
382	1.812794997
383	1.812652941
384	1.812548868
385	1.812414274
386	1.812280783
387	1.812025449
388	1.811834977
389	1.811712178
390	1.811611018
391	1.811502302
392	1.811375883
393	1.811280294
394	1.811152946
395	1.811000426
396	1.81079152
397	1.810699492
398	1.810605899
399	1.810326412
400	1.810215597
401	1.810085193
402	1.809996022
403	1.809812645
404	1.809723049
405	1.809471039
406	1.809323979
407	1.809122639
408	1.809002496
409	1.808912606
410	1.808742988
411	1.808621585
412	1.808521261
413	1.808371078
414	1.808130545
415	1.807997692
416	1.807895646
417	1.807683021
418	1.807567894
419	1.807529705
420	1.807433537
421	1.807342033
422	1.807246862
423	1.807124497
424	1.807024461
425	1.806913953
426	1.806806724
427	1.806683792
428	1.806600984
429	1.806455351
430	1.806350528
431	1.806228577
432	1.806166532
433	1.806016962
434	1.805946562
435	1.805827196
436	1.805711342
437	1.805627584
438	1.80552944
439	1.805421448
440	1.805293213
441	1.805094153
442	1.804907371
443	1.804779644
444	1.804690139
445	1.80457863
446	1.804470968
447	1.804337553
448	1.804240871
449	1.804145778
450	1.804010857
451	1.803933924
452	1.803851847
453	1.803605902
454	1.803517961
455	1.803435192
456	1.803290938
457	1.803203411
458	1.803133287
459	1.802970673
460	1.802946594
461	1.802841247
462	1.802765947
463	1.802669533
464	1.802539862
465	1.802468666
466	1.802351113
467	1.802268544
468	1.802177109
469	1.802097313
470	1.802058835
471	1.801844498
472	1.801752016
473	1.801660131
474	1.801555886
475	1.801459062
476	1.801383525
477	1.801276574
478	1.801193172
479	1.801135964
480	1.801055032
481	1.800961278
482	1.800813814
483	1.800721126
484	1.800605083
485	1.800539508
486	1.800403296
487	1.800348686
488	1.800223096
489	1.800139076
490	1.800037897
491	1.799969502
492	1.799906621
493	1.799840014
494	1.799756675
495	1.799603208
496	1.799458109
497	1.799358783
498	1.799281041
499	1.799228758
500	1.799109192
501	1.799039384
502	1.798903885
503	1.798809009
504	1.798729075
505	1.798652884
506	1.798583163
507	1.798503913
508	1.798416678
509	1.798380394
510	1.79828114
511	1.798197368
512	1.798132993
513	1.798013501
514	1.797972235
515	1.797913855
516	1.797879187
517	1.79775866
518	1.797636746
519	1.797455359
520	1.797355165
521	1.797256796
522	1.797171992
523	1.797040458
524	1.796958881
525	1.796940198
526	1.796838097
527	1.796796384
528	1.796695952
529	1.796623927
530	1.796556914
531	1.796464629
532	1.796391696
533	1.7963338
534	1.796184648
535	1.796076481
536	1.795988995
537	1.795898601
538	1.79577046
539	1.795688616
540	1.795646286
541	1.795525464
542	1.795450353
543	1.795377991
544	1.7953136
545	1.795189601
546	1.795096251
547	1.79490493
548	1.794855129
549	1.794728688
550	1.794655858
551	1.7945733
552	1.794418136
553	1.794333045
554	1.79424517
555	1.794170113
556	1.794095393
557	1.794009727
558	1.793950003
559	1.793861959
560	1.793785117
561	1.793678115
562	1.79362886
563	1.793577896
564	1.793529343
565	1.793444173
566	1.793395694
567	1.793243074
568	1.793182665
569	1.793127248
570	1.793074152
571	1.793026723
572	1.792964517
573	1.792858759
574	1.792836915
575	1.792644492
576	1.792588161
577	1.79250269
578	1.792396349
579	1.792338881
580	1.79221919
581	1.7921578
582	1.792076459
583	1.792027019
584	1.79193557
585	1.791846973
586	1.791716814
587	1.79165447
588	1.79152087
589	1.791460909
590	1.79140994
591	1.79135527
592	1.791246323
593	1.791166898
594	1.791095375
595	1.791011221
596	1.790949875
597	1.790871848
598	1.790761913
599	1.790661073
600	1.790618511
601	1.790551735
602	1.790504967
603	1.790472912
604	1.790403647
605	1.790257228
606	1.790190915
607	1.790131101
608	1.789975096
609	1.789918003
610	1.789865161
611	1.789785591
612	1.789735331
613	1.789689802
614	1.78961983
615	1.789497263
616	1.789387373
617	1.789311988
618	1.789229663
619	1.789190745
620	1.789106985
621	1.789068305
622	1.788970527
623	1.788896836
624	1.788829252
625	1.788713631
626	1.788631005
627	1.788578248
628	1.788506927
629	1.788415499
630	1.788379842
631	1.788296048
632	1.788247248
633	1.788160604
634	1.788123537
635	1.787983669
636	1.787930619
637	1.787888915
638	1.787807406
639	1.787779935
640	1.787665047
641	1.787480458
642	1.787432922
643	1.787366745
644	1.787297392
645	1.787246822
646	1.787206982
647	1.787096632
648	1.787049001
649	1.786962284
650	1.786855959
651	1.786818653
652	1.786752517
653	1.786684837
654	1.786628204
655	1.786555338
656	1.786519803
657	1.786470085
658	1.786345962
659	1.786289129
660	1.786247088
661	1.786185431
662	1.786101574
663	1.786060438
664	1.78597122
665	1.785898784
666	1.785743599
667	1.785686545
668	1.785641654
669	1.785584127
670	1.78541812
671	1.785339592
672	1.785271445
673	1.785095975
674	1.785040238
675	1.784998252
676	1.784878958
677	1.784775296
678	1.784744375
679	1.784676346
680	1.784588582
681	1.784518335
682	1.784489053
683	1.784378526
684	1.784311789
685	1.784201126
686	1.784142658
687	1.784086233
688	1.784013388
689	1.783944608
690	1.783907794
691	1.78383863
692	1.783758005
693	1.783657336
694	1.783595276
695	1.783475485
696	1.783344783
697	1.783309422
698	1.783262199
699	1.783167687
